city_id,City,Country,City ID,Cloudiness,Humidity,Longitude,Latitude,Max Temp,Wind Speed
284,half moon bay,US,5354943,5,53,-122.43,37.46,73.4,13.87
285,aklavik,CA,5882953,90,82,-135.01,68.22,57.2,10.29
286,geraldton,AU,2070998,2,42,114.6,-28.77,68.0,24.16
287,sumbe,AO,3346015,31,91,13.84,-11.21,68.92,3.15
288,mangai,CD,2313084,3,62,19.53,-4.05,74.16,1.43
289,mana,GF,3381041,2,81,-53.78,5.66,78.98,8.79
290,port hedland,AU,2063042,0,25,118.57,-20.32,75.2,18.34
291,baykit,RU,1510689,88,53,96.37,61.67,70.18,2.53
292,kutum,SD,371745,98,80,24.67,14.2,71.6,14.38
293,hamilton,US,4513583,40,82,-84.53,39.18,72.0,5.41
294,marica,BR,3457708,0,77,-42.82,-22.92,69.8,2.24
295,maniitsoq,GL,3421982,96,74,-52.9,65.42,42.82,6.98
296,dehui,CN,2037712,4,57,125.7,44.53,80.6,8.95
297,waddan,LY,2209055,0,69,16.14,29.16,73.45,4.36
298,stavern,NO,3137091,0,100,10.03,59.0,59.0,1.41
299,homer,US,5864145,75,87,-151.55,59.64,57.0,6.93
300,arvika,SE,2725123,51,100,12.59,59.66,62.01,3.36
301,fort washington,US,4355355,20,94,-77.02,38.71,77.0,4.05
302,monrovia,LR,2274895,100,84,-10.8,6.3,75.49,12.03
303,esperance,AU,2071860,35,93,121.9,-33.87,50.0,9.17
304,novo oriente,BR,3393783,0,55,-40.77,-5.53,72.57,6.17
305,ribeira grande,PT,3372707,17,75,-28.7,38.52,69.57,12.8
306,cody,US,5821593,1,38,-109.06,44.53,88.0,10.29
307,comodoro rivadavia,AR,3860443,100,57,-67.5,-45.87,48.2,4.7
308,grand gaube,MU,934479,40,88,57.66,-20.01,64.4,3.36
309,vao,NC,2137773,77,64,167.48,-22.67,69.69,6.96
310,neuquen,AR,3843123,100,60,-68.06,-38.95,42.8,2.24
311,tukan,RU,480637,65,87,57.46,53.84,60.57,2.77
312,broken hill,AU,2173911,32,87,141.43,-31.95,44.6,12.75
313,ahuimanu,US,5856516,75,66,-157.84,21.44,84.2,11.41
314,sambava,MG,1056899,2,86,50.17,-14.27,65.08,7.0
315,souillac,MU,933995,40,88,57.52,-20.52,64.4,3.36
316,shaping,CN,1795842,99,75,112.96,22.75,91.0,1.01
317,anadyr,RU,2127202,75,76,177.48,64.75,55.4,11.18
318,sijunjung,ID,1627185,19,56,100.95,-0.69,83.12,0.56
319,bagdarin,RU,2027244,100,91,113.6,54.43,55.08,4.14
320,madawaska,US,4970938,1,46,-68.33,47.36,69.8,8.05
321,solnechnyy,RU,2016307,5,48,136.63,50.72,69.6,2.95
322,lugo,ES,3117813,0,100,-7.5,43.0,55.99,1.99
323,tommot,RU,2015179,100,59,126.29,58.96,66.06,3.76
324,tomiya,JP,2110744,75,83,140.89,38.39,75.2,4.7
325,lawrenceburg,US,4297581,1,73,-84.9,38.04,69.8,4.43
326,leningradskiy,RU,2123814,100,82,178.42,69.38,40.98,7.07
327,porto santo,PT,8010683,20,88,-16.34,33.07,71.6,5.82
328,longhua,CN,1802618,85,63,114.19,23.61,88.74,2.95
329,banyo,CM,2234794,100,94,11.82,6.75,63.7,0.72
330,vila do maio,CV,3374120,75,88,-23.22,15.13,78.8,12.75
331,arraial do cabo,BR,3471451,0,77,-42.03,-22.97,70.66,20.2
332,kiama,AU,2161515,78,89,150.87,-34.68,60.01,5.99
333,nome,US,5870133,90,71,-165.41,64.5,59.0,12.75
334,rudsar,IR,118191,75,78,50.29,37.14,73.4,2.24
335,uthal,PK,1162862,100,77,66.62,25.81,85.77,4.88
336,palmas bellas,PA,3703523,100,83,-80.09,9.23,81.0,7.0
337,powell river,CA,6112608,90,93,-124.54,49.85,62.6,11.41
338,verkhnyaya inta,RU,1487332,100,80,60.31,65.98,52.88,7.72
339,belaya gora,RU,2126785,97,83,146.42,68.53,56.52,4.0
340,charagua,BO,3921141,0,43,-63.22,-19.8,65.71,2.1
341,kalabo,ZM,915471,0,37,22.68,-14.97,57.49,5.55
342,irbeyskoye,RU,1505529,96,91,95.45,55.64,62.56,7.25
343,porangatu,BR,3453014,30,47,-49.15,-13.44,72.3,7.27
344,alexandria,EG,361058,0,83,29.96,31.22,80.6,8.05
345,kysyl-syr,RU,2021017,100,44,122.76,63.9,73.33,0.89
346,avera,US,4231997,1,67,-82.53,33.19,77.0,3.36
347,kibala,TD,2425791,84,95,18.35,9.11,70.99,3.49
348,inirida,CO,3671450,9,92,-67.92,3.87,71.22,1.43
349,sola,VU,2134814,3,82,167.55,-13.88,77.34,16.87
350,pisco,PE,3932145,3,82,-76.22,-13.7,60.8,2.24
351,karasburg,NA,3356343,0,38,18.75,-28.02,51.33,14.61
352,palmeira das missoes,BR,3455416,26,81,-53.31,-27.9,57.7,5.08
353,mandalgovi,MN,2030065,73,51,106.27,45.76,61.05,8.55
354,landskrona,SE,2697720,59,78,12.83,55.87,64.99,7.47
355,los aquijes,PE,3935969,0,82,-75.69,-14.1,60.8,2.24
356,kloulklubed,PW,7671223,90,74,134.26,7.04,84.2,15.21
357,ilheus,BR,3461408,27,89,-39.05,-14.79,68.54,5.19
358,maharajganj,IN,1264433,40,100,83.57,27.13,84.2,4.7
359,igarka,RU,1505991,100,71,86.58,67.47,60.19,4.34
360,rustam,PK,1166720,75,94,68.8,27.97,80.6,1.19
361,viedma,AR,3832899,100,77,-63.0,-40.81,45.0,1.99
362,bambous virieux,MU,1106677,40,88,57.76,-20.34,64.99,3.36
363,gorontalo,ID,1643837,1,61,123.06,0.54,86.36,6.71
364,hay river,CA,5972762,75,100,-115.8,60.82,64.4,6.93
365,rabak,SD,368277,98,75,32.74,13.18,78.64,10.07
366,gravdal,NO,3155152,97,75,13.5,68.12,59.97,10.07
367,road town,VG,3577430,100,86,-64.62,18.42,84.0,18.01
368,ukiah,US,5404476,1,29,-123.21,39.15,87.8,3.36
369,bubaque,GW,2374583,100,85,-15.83,11.28,79.93,10.65
370,coihaique,CL,3894426,100,86,-72.07,-45.58,37.4,3.36
371,benjamin hill,MX,4017152,1,55,-111.1,30.17,93.99,5.01
372,santa cruz,BO,3904906,0,77,-63.17,-17.8,69.8,2.24
373,kulhudhuffushi,MV,1337613,100,75,73.07,6.62,82.49,15.99
374,nabire,ID,1634614,60,61,135.48,-3.37,87.22,3.36
375,asau,RO,686090,7,66,26.4,46.43,66.0,6.02
376,ornskoldsvik,SE,2686469,90,100,18.72,63.29,55.4,3.36
377,lompoc,US,5367788,3,68,-120.46,34.64,66.2,13.87
378,havelock,US,4470244,1,83,-76.9,34.88,82.0,10.29
379,muhos,FI,645765,48,100,25.99,64.81,55.4,2.24
380,coria,ES,2519234,0,55,-6.54,39.99,77.0,1.99
381,lufilufi,WS,4035249,56,80,-171.6,-13.87,80.62,13.65
382,seoul,KR,1835848,90,78,126.98,37.57,78.8,7.52
383,cagliari,IT,2525471,0,83,9.09,39.24,73.99,5.82
384,matara,LK,1235846,100,83,80.54,5.95,79.32,11.1
385,jadu,LY,2216432,0,74,12.03,31.95,63.18,3.71
386,mandali,IQ,93709,0,23,45.55,33.75,90.21,12.08
387,touros,BR,3386213,0,88,-35.46,-5.2,71.6,4.7
388,iqaluit,CA,5983720,75,62,-68.51,63.75,51.8,8.05
389,acari,PE,3948613,11,61,-74.62,-15.43,61.18,3.62
390,ayagoz,KZ,1525988,0,40,80.44,47.97,71.19,12.88
391,carballo,ES,3126369,34,93,-8.69,43.21,64.4,2.24
392,concordia,AR,3435261,100,80,-58.02,-31.39,66.0,10.0
393,qaqortoq,GL,3420846,100,87,-46.03,60.72,44.6,5.82
394,odweyne,SO,53372,99,63,45.06,9.41,72.05,17.05
395,gizo,SB,2108857,99,73,156.84,-8.1,84.15,10.27
396,palafrugell,ES,3114567,0,51,3.16,41.92,71.01,3.47
397,acapulco,MX,3533462,75,74,-99.89,16.86,84.2,3.36
398,sommerda,DE,2831403,0,64,11.1,51.15,68.0,9.17
399,vieste,IT,3164387,20,88,16.18,41.88,71.6,10.29
400,paka,MY,1734313,40,89,103.44,4.64,84.2,5.82
401,ibague,CO,3680656,25,61,-75.23,4.44,68.0,4.99
402,rapid valley,US,5768244,1,44,-103.15,44.06,75.2,10.29
403,portland,US,5746545,40,41,-122.68,45.52,75.2,10.29
404,laguna,US,5364271,1,29,-121.42,38.42,91.4,6.93
405,amga,RU,2027786,68,32,131.96,60.9,76.03,4.38
406,mukdahan,TH,1608595,75,79,104.5,16.58,84.2,2.24
407,yarovoye,RU,1486340,8,70,78.58,52.93,68.7,4.0
408,ploemeur,FR,2986732,0,77,-3.43,47.73,66.99,4.7
409,sapang,PH,1687302,52,72,120.52,15.7,85.46,7.16
410,westerland,DE,2810284,2,93,8.3,54.91,64.4,8.05
411,agirish,RU,1512101,40,95,63.02,61.92,58.66,6.87
412,prince rupert,CA,6113406,90,93,-130.32,54.32,55.4,3.36
413,san carlos,VE,3628503,0,92,-68.58,9.66,73.44,1.19
414,ucluelet,CA,6171633,90,93,-125.55,48.93,59.0,9.17
415,conceicao do araguaia,BR,3401845,0,44,-49.26,-8.26,74.91,4.63
416,palmas,BR,3474574,0,56,-48.36,-10.21,71.6,5.82
417,buracan,PH,1722494,100,88,123.5,13.6,78.15,4.92
418,grahamstown,ZA,1000501,89,78,26.53,-33.3,42.64,4.09
419,batemans bay,AU,2176639,100,100,150.18,-35.72,55.99,1.01
420,ribera,IT,2523619,0,93,13.26,37.5,69.01,7.0
421,kentau,KZ,1522751,0,29,68.51,43.52,82.45,0.29
422,saldanha,ZA,3361934,99,75,17.94,-33.01,42.8,2.24
423,manado,ID,1636544,20,55,124.85,1.49,87.8,2.24
424,chacarita,CR,3624288,20,100,-84.77,9.98,71.6,3.36
425,whakatane,NZ,2208330,53,65,176.99,-37.96,55.99,7.0
426,noumea,NC,2139521,1,54,166.46,-22.28,78.8,8.05
427,mount gambier,AU,2156643,90,76,140.77,-37.83,53.6,19.46
428,lipin bor,RU,535113,81,93,37.98,60.26,56.1,4.03
429,tucupita,VE,3625929,91,94,-62.05,9.06,75.15,3.67
430,perth,AU,2063523,0,50,115.83,-31.93,60.01,19.46
431,broome,US,5110365,90,88,-75.83,42.25,68.0,5.82
432,wamba,NG,2319257,100,92,8.6,8.93,69.28,1.83
433,karrapur,IN,1267680,54,88,78.85,23.95,77.54,11.92
434,braco do norte,BR,3469115,0,72,-49.17,-28.27,56.89,2.1
435,wonthaggi,AU,2154826,98,92,145.59,-38.6,57.0,14.81
436,pedernales,DO,3495137,100,69,-71.74,18.04,83.01,3.02
437,yarada,IN,1252783,75,94,83.27,17.65,82.4,4.7
438,alice springs,AU,2077895,0,50,133.88,-23.7,55.4,9.17
439,panama city,PA,3703443,97,83,-79.52,8.99,80.6,8.05
440,glazunovka,RU,561313,0,86,36.33,52.5,57.7,7.23
441,gibara,CU,3558315,75,83,-76.13,21.11,80.6,8.05
442,colinas,BR,3401963,0,53,-44.25,-6.03,72.91,3.22
443,dalvik,IS,2632287,90,81,-18.53,65.97,48.2,5.82
444,santa luzia,BR,3450144,0,67,-43.85,-19.77,60.8,1.12
445,correntina,BR,3465373,94,60,-44.64,-13.34,67.95,4.59
446,almaznyy,RU,582447,0,59,40.05,48.04,66.2,4.47
447,cap malheureux,MU,934649,40,88,57.61,-19.98,64.4,3.36
448,buga,CO,3688256,75,69,-76.3,3.9,77.0,5.82
449,san jeronimo,PE,3929611,2,63,-75.28,-11.95,46.89,2.53
450,grindavik,IS,3416888,75,87,-22.43,63.84,46.4,16.11
451,los llanos de aridane,ES,2514651,75,69,-17.92,28.66,75.2,12.75
452,pacific grove,US,5380437,20,68,-121.92,36.62,66.2,9.17
453,petropavlovsk-kamchatskiy,RU,2122104,90,100,158.65,53.05,53.6,8.95
454,pleasanton,US,5383777,1,36,-121.87,37.66,82.0,11.41
455,krasnoselkup,RU,1502073,84,62,82.47,65.7,70.18,6.06
456,miri,MY,1738050,20,55,114.01,4.41,89.6,5.82
457,agalteca,HN,3615582,75,100,-87.27,14.45,75.2,8.05
458,maumere,ID,1635815,100,68,122.21,-8.62,79.25,4.92
459,sanmenxia,CN,1796669,15,68,111.18,34.77,82.85,3.96
460,thinadhoo,MV,1337610,62,78,72.93,0.53,82.85,10.89
461,kropotkin,RU,540761,0,58,40.58,45.44,71.83,6.62
462,liverpool,GB,2644210,33,82,-2.98,53.41,66.2,6.93
463,longyan,CN,1802276,50,58,117.02,25.11,86.94,4.18
464,cabarroguis,PH,1721777,100,67,121.5,16.58,85.23,2.37
465,richards bay,ZA,962367,0,79,32.04,-28.78,55.83,5.39
466,port macquarie,AU,2152659,30,83,152.92,-31.43,63.0,3.87
467,warrenton,ZA,941931,16,78,24.85,-28.11,47.88,16.58
468,dharchula,IN,1272864,40,70,80.53,29.85,75.29,1.92
469,limoux,FR,2998262,0,94,2.17,42.92,69.01,3.06
470,spirit river,CA,6153766,40,45,-118.84,55.78,64.0,21.92
471,shenjiamen,CN,1795632,76,87,122.3,29.96,81.19,20.56
472,azua,DO,3512208,100,79,-70.73,18.45,78.53,3.38
473,bilibino,RU,2126682,100,66,166.44,68.05,51.44,5.26
474,poum,NC,2138555,73,70,164.02,-20.23,70.95,5.73
475,pangai,TO,4032369,75,61,-174.35,-19.8,77.0,2.24
476,westport,US,4845585,75,78,-73.36,41.14,73.4,5.82
477,andilamena,MG,1076194,2,94,48.58,-17.02,52.2,2.68
478,denpasar,ID,1645528,20,94,115.22,-8.65,80.6,13.87
479,necochea,AR,3430443,54,67,-58.74,-38.55,45.48,6.8
480,alpena,US,4984075,1,88,-83.43,45.06,66.0,6.35
481,nhulunbuy,AU,2064735,40,58,136.77,-12.23,84.2,13.87
482,bayonet point,US,4146901,99,66,-82.68,28.33,82.99,5.64
483,balkhash,KZ,1525798,20,31,74.98,46.84,75.2,13.42
484,okha,RU,2122614,0,61,142.95,53.57,62.46,4.52
485,adrar,MR,2381972,60,15,-10.07,20.5,96.17,16.35
486,vytegra,RU,469960,65,95,36.45,61.01,58.46,4.94
487,puro,PH,1692364,100,79,123.38,12.48,82.62,9.42
488,ust-tsilma,RU,477940,100,89,52.15,65.44,52.74,4.0
489,isangel,VU,2136825,75,57,169.27,-19.55,78.8,9.17
490,omboue,GA,2396853,31,82,9.26,-1.57,72.95,4.83
491,hambantota,LK,1244926,75,83,81.12,6.12,80.6,10.29
492,chara,RU,2025630,70,61,118.26,56.91,64.58,0.89
493,maicao,CO,3675657,83,77,-72.24,11.38,81.72,16.44
494,constitucion,CL,3893726,74,71,-72.42,-35.33,49.91,4.92
495,teahupoo,PF,4033543,75,61,-149.27,-17.83,82.4,14.99
496,berlevag,NO,780687,80,88,29.09,70.86,51.17,9.28
497,nador,MA,2541479,75,83,-2.93,35.17,78.8,5.82
498,lata,PT,2738381,67,99,-8.33,40.16,64.99,1.39
499,karoi,ZW,889191,0,76,29.69,-16.81,54.01,8.5
500,talara,PE,3691582,15,86,-81.27,-4.58,61.81,13.06
501,bombay,IN,1275339,75,88,72.85,19.01,82.4,11.41
502,halifax,CA,6324729,100,64,-63.57,44.65,69.01,2.59
503,nchelenge,ZM,175499,8,51,28.73,-9.35,63.95,7.76
504,biltine,TD,244878,100,79,20.92,14.53,77.56,9.55
505,svetlogorsk,BY,10722858,27,95,29.73,52.63,61.45,4.36
506,ponazyrevo,RU,506696,100,88,46.31,58.36,54.91,4.09
507,khrebtovaya,RU,2022232,0,56,104.25,56.7,69.21,8.48
508,bandarbeyla,SO,64814,61,64,50.81,9.49,78.39,33.04
509,andros town,BS,3572906,40,79,-77.77,24.7,84.2,3.36
510,albert lea,US,5016024,1,78,-93.37,43.65,75.2,12.75
511,kashira,RU,551964,4,93,38.17,54.84,53.6,6.06
512,atherton,GB,2656847,7,87,-2.49,53.52,64.99,1.99
513,muleba,TZ,152570,100,80,31.65,-1.84,65.71,2.93
514,pasighat,IN,1260206,100,86,95.33,28.07,80.73,3.53
515,kupang,ID,2057087,20,51,123.58,-10.17,86.0,11.41
516,newport,GB,2641598,0,90,-3.0,51.59,64.99,6.08
517,predivinsk,RU,1494237,100,85,93.44,57.07,65.17,0.98
518,kottagudem,IN,1265938,100,85,80.63,17.55,80.65,6.46
519,parabel,RU,1495586,0,62,81.48,58.7,65.48,3.98
520,lingao,CN,1803560,5,70,109.69,19.91,85.39,2.35
521,lastoursville,GA,2399870,89,63,12.73,-0.81,75.67,4.79
522,sunrise manor,US,5513343,1,5,-115.07,36.21,100.4,12.75
523,quatre cocos,MU,1106643,40,88,57.76,-20.21,64.4,3.36
524,utrera,ES,2510073,100,78,-5.78,37.19,79.0,4.07
525,san juan,AR,3837213,1,45,-68.54,-31.54,50.22,2.3
526,guamuchil,MX,4005297,26,69,-108.1,25.47,87.01,5.99
527,manzhouli,CN,2035836,100,79,117.43,49.6,66.97,3.62
528,dolores,AR,3435038,86,78,-57.68,-36.31,47.59,7.11
529,samoded,RU,499025,100,97,40.51,63.61,55.15,3.49
530,arcachon,FR,6621469,75,94,-1.05,44.59,71.6,9.17
531,bridlington,GB,2654728,60,88,-0.19,54.08,64.4,4.7
532,beyla,GN,2423126,100,97,-8.63,8.68,66.22,4.47
533,hefei,CN,1808722,100,84,117.28,31.86,87.8,4.47
534,chapais,CA,5919850,75,88,-74.85,49.78,62.6,3.36
535,beringovskiy,RU,2126710,100,89,179.32,63.05,49.89,11.72
536,stornoway,GB,2636790,2,100,-6.39,58.21,52.0,6.93
537,dakar,SN,2253354,20,88,-17.44,14.69,77.0,8.05
538,kapoeta,SS,372884,88,87,33.59,4.77,71.4,3.49
539,grand forks,US,5059429,40,83,-97.03,47.93,71.6,8.05
540,ahipara,NZ,2194098,69,78,173.17,-35.17,56.57,19.33
541,mount isa,AU,2065594,0,37,139.5,-20.73,66.2,10.29
542,inta,RU,1505579,100,78,60.17,66.03,53.42,8.86
543,makakilo city,US,5850554,75,52,-158.09,21.35,89.6,9.17
544,yershov,RU,467120,7,86,48.28,51.35,64.08,14.74
545,kuytun,RU,2021093,99,94,101.5,54.34,60.3,12.68
546,alta floresta,BR,6316343,0,48,-56.09,-9.88,72.14,3.58
547,leon,MX,3998655,40,49,-101.67,21.12,73.4,5.82
548,bonthe,SL,2409914,100,88,-12.51,7.53,75.24,9.64
549,cairns,AU,2172797,75,74,145.77,-16.92,81.0,8.05
550,anjiang,CN,1818051,100,61,110.1,27.32,87.24,11.01
551,lobito,AO,3347939,14,86,13.55,-12.35,68.81,6.06
552,cacador,BR,3468570,2,66,-51.02,-26.78,50.83,0.69
553,cedar city,US,5536630,1,7,-113.06,37.68,82.4,12.75
554,kpandae,GH,2299236,100,89,-0.01,8.47,71.17,5.93
555,vrangel,RU,2013258,36,75,133.08,42.73,70.47,10.67
556,zhanaozen,KZ,607610,0,53,52.8,43.3,73.58,9.04
557,gwadar,PK,1177446,100,81,62.33,25.12,82.17,22.86
558,palasa,IN,1260771,100,75,84.42,18.77,84.76,2.62
559,eureka,US,5563397,0,77,-124.16,40.8,64.99,1.01
560,saint-paul,RE,935221,19,72,55.27,-21.01,60.8,6.93
561,tevaitoa,PF,4033375,0,73,-151.5,-16.78,79.48,13.47
562,lakes entrance,AU,2160735,100,91,147.98,-37.88,55.0,8.01
563,ormara,PK,1168700,88,82,64.64,25.21,85.15,14.18
564,palmer,US,4946620,90,64,-72.33,42.16,75.2,6.93
565,maldonado,UY,3441890,90,93,-54.92,-34.67,54.0,3.36
566,dombarovskiy,RU,565407,100,78,59.54,50.76,66.33,9.6
567,la rioja,ES,3336897,31,93,-2.5,42.25,66.2,4.7
